danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.453,0.305,5,-7.578,1,0.0293,0.881,0.0,0.133,0.543,79.0,audio_features,0hVXFWS00liq3W2YAQUma4,spotify:track:0hVXFWS00liq3W2YAQUma4,https://api.spotify.com/v1/tracks/0hVXFWS00liq3W2YAQUma4,https://api.spotify.com/v1/audio-analysis/0hVXFWS00liq3W2YAQUma4,204234,4
0.626,0.695,2,-4.446,1,0.0319,0.396,0.0,0.308,0.469,115.051,audio_features,5IPQRERKcsXeaKlRpEJr28,spotify:track:5IPQRERKcsXeaKlRpEJr28,https://api.spotify.com/v1/tracks/5IPQRERKcsXeaKlRpEJr28,https://api.spotify.com/v1/audio-analysis/5IPQRERKcsXeaKlRpEJr28,273215,4
0.667,0.621,5,-5.697,1,0.0271,0.47,4.15e-05,0.13,0.451,106.032,audio_features,43GfQ1SC17rBWiHkOtdwK8,spotify:track:43GfQ1SC17rBWiHkOtdwK8,https://api.spotify.com/v1/tracks/43GfQ1SC17rBWiHkOtdwK8,https://api.spotify.com/v1/audio-analysis/43GfQ1SC17rBWiHkOtdwK8,192229,4
0.684,0.771,8,-5.353,1,0.0307,0.548,0.0,0.112,0.539,119.982,audio_features,0dLbrlAVPPjpPqnYfmJsWk,spotify:track:0dLbrlAVPPjpPqnYfmJsWk,https://api.spotify.com/v1/tracks/0dLbrlAVPPjpPqnYfmJsWk,https://api.spotify.com/v1/audio-analysis/0dLbrlAVPPjpPqnYfmJsWk,299827,4
0.702,0.86,7,-3.969,1,0.0345,0.361,1.33e-06,0.133,0.829,120.042,audio_features,4iFPsNzNV7V9KJgcOX7TEO,spotify:track:4iFPsNzNV7V9KJgcOX7TEO,https://api.spotify.com/v1/tracks/4iFPsNzNV7V9KJgcOX7TEO,https://api.spotify.com/v1/audio-analysis/4iFPsNzNV7V9KJgcOX7TEO,341933,4
0.595,0.61,7,-6.887,0,0.0499,0.332,2.14e-06,0.0628,0.314,97.974,audio_features,1MhHomaXgrPMBroXkpWSSa,spotify:track:1MhHomaXgrPMBroXkpWSSa,https://api.spotify.com/v1/tracks/1MhHomaXgrPMBroXkpWSSa,https://api.spotify.com/v1/audio-analysis/1MhHomaXgrPMBroXkpWSSa,212522,4
0.481,0.496,8,-7.421,1,0.0262,0.588,0.0,0.132,0.453,89.839,audio_features,6fScgF2Y63ScU73nYju0ny,spotify:track:6fScgF2Y63ScU73nYju0ny,https://api.spotify.com/v1/tracks/6fScgF2Y63ScU73nYju0ny,https://api.spotify.com/v1/audio-analysis/6fScgF2Y63ScU73nYju0ny,251819,4
0.717,0.64,2,-8.726,1,0.025,0.565,0.00139,0.127,0.485,105.021,audio_features,0FBQ4NrrHUbR9kus7rzrOj,spotify:track:0FBQ4NrrHUbR9kus7rzrOj,https://api.spotify.com/v1/tracks/0FBQ4NrrHUbR9kus7rzrOj,https://api.spotify.com/v1/audio-analysis/0FBQ4NrrHUbR9kus7rzrOj,260537,4
0.521,0.837,7,-4.501,1,0.0794,0.0593,1.28e-05,0.157,0.48,106.001,audio_features,1FSYDJAlyHAabWhiGgYfDq,spotify:track:1FSYDJAlyHAabWhiGgYfDq,https://api.spotify.com/v1/tracks/1FSYDJAlyHAabWhiGgYfDq,https://api.spotify.com/v1/audio-analysis/1FSYDJAlyHAabWhiGgYfDq,4581483,4
0.677,0.318,5,-9.196,1,0.028,0.775,0.0,0.118,0.585,104.983,audio_features,5ZhKD46Q7mhsl0awl7ZMJc,spotify:track:5ZhKD46Q7mhsl0awl7ZMJc,https://api.spotify.com/v1/tracks/5ZhKD46Q7mhsl0awl7ZMJc,https://api.spotify.com/v1/audio-analysis/5ZhKD46Q7mhsl0awl7ZMJc,228969,4
