danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.636,0.972,6,-1.808,1,0.228,0.429,5.29e-05,0.101,0.807,95.009,audio_features,2axUpfRiluw1Ou3FLZ1psA,spotify:track:2axUpfRiluw1Ou3FLZ1psA,https://api.spotify.com/v1/tracks/2axUpfRiluw1Ou3FLZ1psA,https://api.spotify.com/v1/audio-analysis/2axUpfRiluw1Ou3FLZ1psA,261345,4
0.641,0.893,0,-4.983,0,0.0814,0.188,0.000134,0.0703,0.797,125.009,audio_features,6kIAvddq3Du3LiUBwtbe2x,spotify:track:6kIAvddq3Du3LiUBwtbe2x,https://api.spotify.com/v1/tracks/6kIAvddq3Du3LiUBwtbe2x,https://api.spotify.com/v1/audio-analysis/6kIAvddq3Du3LiUBwtbe2x,211024,4
0.64,0.969,10,-3.221,0,0.108,0.000329,7.18e-06,0.27,0.514,100.003,audio_features,3gFPKPgGcyF5uicR0ODcXp,spotify:track:3gFPKPgGcyF5uicR0ODcXp,https://api.spotify.com/v1/tracks/3gFPKPgGcyF5uicR0ODcXp,https://api.spotify.com/v1/audio-analysis/3gFPKPgGcyF5uicR0ODcXp,287601,4
0.759,0.756,8,-6.868,0,0.0479,0.509,0.00434,0.257,0.721,125.288,audio_features,1g2EvprWVJCVR49xbWBbgf,spotify:track:1g2EvprWVJCVR49xbWBbgf,https://api.spotify.com/v1/tracks/1g2EvprWVJCVR49xbWBbgf,https://api.spotify.com/v1/audio-analysis/1g2EvprWVJCVR49xbWBbgf,532240,4
0.703,0.866,1,-4.449,0,0.0694,0.4,0.000649,0.299,0.731,112.296,audio_features,4DQ1aWaTma6tzFX5cUwwyw,spotify:track:4DQ1aWaTma6tzFX5cUwwyw,https://api.spotify.com/v1/tracks/4DQ1aWaTma6tzFX5cUwwyw,https://api.spotify.com/v1/audio-analysis/4DQ1aWaTma6tzFX5cUwwyw,303314,4
0.545,0.835,6,-4.052,0,0.0841,0.195,1.5e-06,0.124,0.722,173.729,audio_features,6S734Z8pppmi0OYMfVAs5B,spotify:track:6S734Z8pppmi0OYMfVAs5B,https://api.spotify.com/v1/tracks/6S734Z8pppmi0OYMfVAs5B,https://api.spotify.com/v1/audio-analysis/6S734Z8pppmi0OYMfVAs5B,413107,4
0.668,0.898,2,-6.101,1,0.0383,0.308,0.000493,0.217,0.925,126.991,audio_features,55TKVLf2sotMA8pDp4tyFz,spotify:track:55TKVLf2sotMA8pDp4tyFz,https://api.spotify.com/v1/tracks/55TKVLf2sotMA8pDp4tyFz,https://api.spotify.com/v1/audio-analysis/55TKVLf2sotMA8pDp4tyFz,256073,4
0.486,0.611,5,-13.246,0,0.109,0.223,0.0,0.347,0.909,112.328,audio_features,5r1E8BBHcxzDePHH7XNxYk,spotify:track:5r1E8BBHcxzDePHH7XNxYk,https://api.spotify.com/v1/tracks/5r1E8BBHcxzDePHH7XNxYk,https://api.spotify.com/v1/audio-analysis/5r1E8BBHcxzDePHH7XNxYk,903360,4
0.413,0.391,4,-14.464,1,0.0481,0.887,7.35e-05,0.381,0.446,112.079,audio_features,15FcJTuGLDIWEtPTA5By49,spotify:track:15FcJTuGLDIWEtPTA5By49,https://api.spotify.com/v1/tracks/15FcJTuGLDIWEtPTA5By49,https://api.spotify.com/v1/audio-analysis/15FcJTuGLDIWEtPTA5By49,462318,4
0.494,0.913,5,-2.964,0,0.106,0.756,0.00481,0.946,0.707,106.033,audio_features,3eBQQ1wuTTdcTMNfdI0fHf,spotify:track:3eBQQ1wuTTdcTMNfdI0fHf,https://api.spotify.com/v1/tracks/3eBQQ1wuTTdcTMNfdI0fHf,https://api.spotify.com/v1/audio-analysis/3eBQQ1wuTTdcTMNfdI0fHf,1390696,4
0.459,0.584,5,-5.418,0,0.102,0.755,0.0,0.458,0.676,77.749,audio_features,4PVHLwvyNCKNCUJzgJ14G7,spotify:track:4PVHLwvyNCKNCUJzgJ14G7,https://api.spotify.com/v1/tracks/4PVHLwvyNCKNCUJzgJ14G7,https://api.spotify.com/v1/audio-analysis/4PVHLwvyNCKNCUJzgJ14G7,720589,4
0.484,0.683,10,-11.136,0,0.105,0.0932,1.12e-06,0.245,0.766,108.145,audio_features,4eJwBBKJOqADZHVlndzvGu,spotify:track:4eJwBBKJOqADZHVlndzvGu,https://api.spotify.com/v1/tracks/4eJwBBKJOqADZHVlndzvGu,https://api.spotify.com/v1/audio-analysis/4eJwBBKJOqADZHVlndzvGu,814158,4
0.421,0.739,0,-5.805,1,0.102,0.549,7.95e-06,0.267,0.626,157.526,audio_features,1CwZzb5zuHYJuF6DC0xmsZ,spotify:track:1CwZzb5zuHYJuF6DC0xmsZ,https://api.spotify.com/v1/tracks/1CwZzb5zuHYJuF6DC0xmsZ,https://api.spotify.com/v1/audio-analysis/1CwZzb5zuHYJuF6DC0xmsZ,1108247,4
0.554,0.597,0,-6.265,0,0.0427,0.494,0.0,0.146,0.325,155.953,audio_features,3mchkCkhJ1d8F5w1J7mede,spotify:track:3mchkCkhJ1d8F5w1J7mede,https://api.spotify.com/v1/tracks/3mchkCkhJ1d8F5w1J7mede,https://api.spotify.com/v1/audio-analysis/3mchkCkhJ1d8F5w1J7mede,241580,3
0.444,0.438,1,-18.456,1,0.055,0.31,0.0,0.21,0.826,150.076,audio_features,5KBHEY7XWLVbHOuGuo7hbB,spotify:track:5KBHEY7XWLVbHOuGuo7hbB,https://api.spotify.com/v1/tracks/5KBHEY7XWLVbHOuGuo7hbB,https://api.spotify.com/v1/audio-analysis/5KBHEY7XWLVbHOuGuo7hbB,774987,4
0.449,0.623,6,-11.514,1,0.183,0.0955,1.88e-06,0.327,0.779,98.944,audio_features,6XlZ3cOskDVBdcHRvtktnd,spotify:track:6XlZ3cOskDVBdcHRvtktnd,https://api.spotify.com/v1/tracks/6XlZ3cOskDVBdcHRvtktnd,https://api.spotify.com/v1/audio-analysis/6XlZ3cOskDVBdcHRvtktnd,1032359,4
0.478,0.549,2,-10.998,1,0.0636,0.693,0.0266,0.135,0.617,138.649,audio_features,6LnJSWHLNR5oTBLwR4UJj4,spotify:track:6LnJSWHLNR5oTBLwR4UJj4,https://api.spotify.com/v1/tracks/6LnJSWHLNR5oTBLwR4UJj4,https://api.spotify.com/v1/audio-analysis/6LnJSWHLNR5oTBLwR4UJj4,408202,4
0.519,0.465,5,-12.791,0,0.0429,0.855,0.166,0.568,0.66,94.65,audio_features,79oL1kFZKT6jMMkgezhiMs,spotify:track:79oL1kFZKT6jMMkgezhiMs,https://api.spotify.com/v1/tracks/79oL1kFZKT6jMMkgezhiMs,https://api.spotify.com/v1/audio-analysis/79oL1kFZKT6jMMkgezhiMs,507942,4
0.324,0.462,3,-15.63,1,0.0638,0.245,0.0,0.8,0.748,149.819,audio_features,2dOrxaaY5WnqogpvbsE8fk,spotify:track:2dOrxaaY5WnqogpvbsE8fk,https://api.spotify.com/v1/tracks/2dOrxaaY5WnqogpvbsE8fk,https://api.spotify.com/v1/audio-analysis/2dOrxaaY5WnqogpvbsE8fk,1124667,4
0.543,0.575,5,-9.818,1,0.241,0.812,0.00192,0.166,0.83,118.063,audio_features,7nXc6zvxG1hFBAYx7qSXLg,spotify:track:7nXc6zvxG1hFBAYx7qSXLg,https://api.spotify.com/v1/tracks/7nXc6zvxG1hFBAYx7qSXLg,https://api.spotify.com/v1/audio-analysis/7nXc6zvxG1hFBAYx7qSXLg,887587,4
0.466,0.818,5,-6.849,1,0.0458,0.108,1.03e-05,0.402,0.783,121.806,audio_features,0EwglCuNxi3Z7t0gJ2YXpr,spotify:track:0EwglCuNxi3Z7t0gJ2YXpr,https://api.spotify.com/v1/tracks/0EwglCuNxi3Z7t0gJ2YXpr,https://api.spotify.com/v1/audio-analysis/0EwglCuNxi3Z7t0gJ2YXpr,561133,4
