danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.798,0.905,5,-3.731,0,0.0581,0.0979,4.22e-06,0.307,0.905,105.005,audio_features,2TbCdbFzs2xO2nzasn0Qvw,spotify:track:2TbCdbFzs2xO2nzasn0Qvw,https://api.spotify.com/v1/tracks/2TbCdbFzs2xO2nzasn0Qvw,https://api.spotify.com/v1/audio-analysis/2TbCdbFzs2xO2nzasn0Qvw,164160,4
0.77,0.969,2,-0.179,1,0.0661,0.154,0.0,0.0809,0.692,134.983,audio_features,3fpVYSLnxkadjYwQPTyo4H,spotify:track:3fpVYSLnxkadjYwQPTyo4H,https://api.spotify.com/v1/tracks/3fpVYSLnxkadjYwQPTyo4H,https://api.spotify.com/v1/audio-analysis/3fpVYSLnxkadjYwQPTyo4H,268889,4
0.786,0.797,6,-4.063,1,0.0414,0.233,0.0,0.0861,0.453,95.014,audio_features,5I2wbDvSI98HLVB42YO9sU,spotify:track:5I2wbDvSI98HLVB42YO9sU,https://api.spotify.com/v1/tracks/5I2wbDvSI98HLVB42YO9sU,https://api.spotify.com/v1/audio-analysis/5I2wbDvSI98HLVB42YO9sU,215368,4
0.796,0.978,5,-1.266,0,0.0955,0.289,0.00254,0.346,0.8,129.999,audio_features,63MvWd6T6yoS7h4AJ4Hjrm,spotify:track:63MvWd6T6yoS7h4AJ4Hjrm,https://api.spotify.com/v1/tracks/63MvWd6T6yoS7h4AJ4Hjrm,https://api.spotify.com/v1/audio-analysis/63MvWd6T6yoS7h4AJ4Hjrm,212741,4
0.494,0.832,5,-3.727,0,0.291,0.518,0.0,0.679,0.737,140.039,audio_features,48ALhEnT1bFo1n4TYlhBhB,spotify:track:48ALhEnT1bFo1n4TYlhBhB,https://api.spotify.com/v1/tracks/48ALhEnT1bFo1n4TYlhBhB,https://api.spotify.com/v1/audio-analysis/48ALhEnT1bFo1n4TYlhBhB,210806,4
0.732,0.895,0,-3.57,0,0.0334,0.0495,2.32e-05,0.172,0.557,109.995,audio_features,5n8BCU2JmPORrFboGeDlXV,spotify:track:5n8BCU2JmPORrFboGeDlXV,https://api.spotify.com/v1/tracks/5n8BCU2JmPORrFboGeDlXV,https://api.spotify.com/v1/audio-analysis/5n8BCU2JmPORrFboGeDlXV,194674,4
0.772,0.83,4,-3.981,0,0.0455,0.0357,0.0,0.0419,0.753,127.999,audio_features,7r8QeC6Uy3AbIXqH7W9y0K,spotify:track:7r8QeC6Uy3AbIXqH7W9y0K,https://api.spotify.com/v1/tracks/7r8QeC6Uy3AbIXqH7W9y0K,https://api.spotify.com/v1/audio-analysis/7r8QeC6Uy3AbIXqH7W9y0K,183373,4
0.827,0.737,11,-5.473,0,0.0764,0.0316,0.000322,0.211,0.873,121.99,audio_features,3BhjbaGeI7E0CiIjctfdD3,spotify:track:3BhjbaGeI7E0CiIjctfdD3,https://api.spotify.com/v1/tracks/3BhjbaGeI7E0CiIjctfdD3,https://api.spotify.com/v1/audio-analysis/3BhjbaGeI7E0CiIjctfdD3,187711,4
0.676,0.948,8,-2.628,1,0.0803,0.0553,0.000218,0.0325,0.632,108.731,audio_features,2WDNxbQejWu16O44FcMEFM,spotify:track:2WDNxbQejWu16O44FcMEFM,https://api.spotify.com/v1/tracks/2WDNxbQejWu16O44FcMEFM,https://api.spotify.com/v1/audio-analysis/2WDNxbQejWu16O44FcMEFM,199584,3
0.799,0.929,0,-3.231,0,0.0668,0.253,0.000462,0.24,0.952,127.999,audio_features,7hXnhouVPnOnFwCGrQMHvB,spotify:track:7hXnhouVPnOnFwCGrQMHvB,https://api.spotify.com/v1/tracks/7hXnhouVPnOnFwCGrQMHvB,https://api.spotify.com/v1/audio-analysis/7hXnhouVPnOnFwCGrQMHvB,231562,4
